2,44,196,2
1,14,110,1
2,12,170,2
2,3,165,2
2,12,150,2
2,3,100,2
1,14,65,1
3,45,350,2
2,46,99,1
1,13,200,2
1,17,150,2
1,7,90,1
1,30,120,1
2,29,75,1
1,7,175,2
2,15,125,2
2,8,275,2
2,24,299,2
1,11,135,2
2,29,130,1
2,24,83,1
2,15,123,1
3,47,55,1
2,8,195,2
1,7,80,1
3,48,98,2
3,45,140,1
3,48,265,2
1,13,249,2
2,8,105,3
2,3,200,1
1,30,100,1
2,3,121,2
5,43,45,1
2,5,100,1
1,13,140,2
1,7,71,1
2,49,130,1
2,12,199,2
1,13,69,1
1,14,68,1
2,20,130,2
1,21,195,2
2,3,64,1
3,50,140,2
1,37,159,2
2,20,189,2
2,8,250,2
2,20,239,2
2,51,305,2
2,3,155,2
2,3,60,1
1,18,135,1
2,52,120,1
2,24,150,2
3,45,140,2
1,21,135,2
2,10,250,2
2,2,250,2
2,28,500,2
2,53,225,2
2,5,125,2
2,3,92,1
2,3,175,1
2,20,99,2
2,9,195,2
2,5,140,2
2,54,135,2
2,15,500,2
2,3,80,1
2,10,120,1
2,2,110,2
1,55,65,2
2,20,130,2
1,22,99,2
4,56,36,1
4,56,37,1
4,56,37,1
2,20,175,2
2,15,205,2
1,21,285,2
1,13,59,1
4,56,36,1
3,57,99,2
1,1,39,1
1,17,60,1
